,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
34,W033002222,1984-01-11,2022-11-29,1984-01-21,0001-01-01,S,"Pratique du sport, de la pétanque dans l'entente la plus cordiale.",RUE de l'Eglise,3800,Saulzet,A,11,LA PETANQUE SAULZETOISE,1984,122,9187,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
35,W032002042,1957-10-15,2011-07-26,1957-10-23,2011-06-10,S,Vie scolaire,23 RUE des Durantats,3000,Moulins,D,15,ASSOCIATION DES ENSEIGNANTS ET AMIS...,1957,80,26195,15,ÉDUCATION  FORMATION
36,W032000275,1977-11-02,2022-04-28,1977-11-13,0001-01-01,S,Retraites,MAIRIE  ,3230,Garnat-sur-Engièvre,A,9,CLUB RETRAITES GARNAT-SAINT-MARTIN...,1977,143,3772,9,ACTION SOCIOCULTURELLE
37,W033000673,1951-09-20,2016-07-05,1951-10-11,0001-01-01,S,"Organisation de la chasse, lutte contre le braconnage, repeuplement des territoires de chasse et protection du gibier.",  Mairie,3220,Treteau,A,13,ASSOCIATION COMMUNALE DE CHASSE,1951,108,2067,13,CHASSE PÊCHE
38,W031001231,2008-11-18,2009-06-09,2009-01-31,0001-01-01,S,"participation au raid 4L Trophy 2010, action humanitaire qui vise à amener des fournitures scolaires à Marrakech au Maroc en traversant la France, l'Espagne et le désert Sud-marocain en 4L",IUT de Montlucon département GLT AV aristide Briand,3100,Montluçon,A,20,LES 4 ELANCES,2008,30,11072,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
39,W033001114,2001-06-28,2001-06-28,2001-07-14,0001-01-01,S,"Constituer et gerer un portefeuille de placements en parts sociales ou en actions , de consentir des prets sans interet.",Chez thierry tailhandier   BD du gravier - Porte saint-antoine,3300,Cusset,A,23,CLUB D'INVESTISSEMENT SOLIDAIRE,2001,98,16925,23,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
40,W031001299,2009-01-19,2009-01-19,2009-03-07,0001-01-01,S,promouvoir la culture en Auvergne et dans les régions avoisinantes et notamment l'histoire et les évènements historiques qui se rapportent à cette région,95 rue Jean Jaurès,3600,Commentry,A,9,ECA,2009,84,17014,9,ACTION SOCIOCULTURELLE
41,W032007171,2023-05-12,2023-05-12,2023-05-23,0001-01-01,S,promouvoir la famille à travers des actions diverses,19 RUE de Villars,3000,Moulins,A,40,AFC DE DOMPIERRE,2023,148,4497,40,"ACTIVITÉS RELIGIEUSES, SPIRITUELLES OU PHILOSOPHIQUES"
42,W033007637,2022-10-14,2022-10-14,2022-10-18,0001-01-01,S,promouvoir vichy dans la continuation du classement unesco,18 RUE Desbrest,3200,Vichy,A,10,A.P.V.,2022,169,13082,10,PRÉSERVATION DU PATRIMOINE
43,W033003536,1988-01-11,2018-12-20,1988-01-11,0001-01-01,S,organisation d'activités engageant tout ou partie des classes de l'école pendant ou en dehors des heures scolaires,ECOLE J.B. BURLOT RUE J.B. BURLOT,3700,Bellerive-sur-Allier,A,15,COOPERATIVE SCOLAIRE DE L'ECOLE J....,1988,53,7440,15,ÉDUCATION  FORMATION
