,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
97,W033002407,1982-04-01,2017-05-04,1982-04-11,0001-01-01,S,Maintenir et renouveler la tradition equestre qui se perpetue dans l'agglomeration vichyssoise depuis l'annee 1887 ; encourager l'elevage et l'entrainement des chevaux de sport...,106/108 RUE Jean Jaurès,3200,Vichy,A,11,JOURNEES EQUESTRES DE L'AGGLOMERAT...,1982,193,23947,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
98,W033007341,2020-03-25,2020-03-25,2020-05-02,0001-01-01,S,"développement de jeux vidéo, sites web et applications",42 RUE Claude Labonde,3150,Varennes-sur-Allier,A,6,ROKWARE STUDIO,2020,70,27663,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
99,W031002602,1974-06-18,2014-01-16,1974-07-09,0001-01-01,S,permettre la pratique du tennis et favoriser celle-ci en suscitant des liens d'amitié entre ses membres,1 PL de la Mairie,3450,Ébreuil,A,11,TENNIS CLUB D'EBREUIL,1974,98,23132,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
100,W031002414,2012-08-20,2022-04-04,2012-09-01,0001-01-01,S,mettre à disposition de ses adhérents un ou plusieurs salariés liés au groupement par un contrat de travail,72 CHEM1 des Vignes,3310,Villebret,A,30,GROUPEMENT D'EMPLOYEURS DE VILLEBRET,2012,30,3306,30,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
101,W032007102,2022-10-05,2022-10-05,2022-10-11,0001-01-01,S,"faire partager la passion de la pêche, les savoirs et les connaissances des uns et des autres",5 B RUE des Cailles,3500,Saulcet,A,13,LES PECHAYOUX 03,2022,197,28411,13,CHASSE PÊCHE
102,W033003279,2012-12-14,2015-12-01,2012-12-22,0001-01-01,S,organisation d'évènements et toutes autres actions pour la promotion du Géocaching,Chalet Cantonal RUE Roger Dégoulange,3250,Le    Mayet-de-Montagne,A,50,MEGA EVENT GEOCACHING,2012,45,28959,50,"DOMAINES DIVERS, DOMAINES DE NOMENCLATURE SITADELE À RECLASSER"
103,W033001988,1995-05-16,2019-11-04,1995-05-31,0001-01-01,S,"Enseignement et pratique de l'art martial vietnamien viet vo dao, technique ou style son hai.",  MAIRIE,3120,Lapalisse,A,11,VIET VO DAO CLUB LAPALISSE,1995,187,21527,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
104,W033002494,2007-12-06,2010-09-28,2007-12-15,2010-08-25,S,"remettre de la vie dans le quartier (organisation de Noël, concours de belote, voyages, sorties organisées, vente de produits divers)",14   RUE Jean Moulin,3700,Bellerive-sur-Allier,D,30,REVEILLONS NOTRE QUARTIER,2007,26,19744,30,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
105,W033002616,2008-05-06,2008-05-06,2008-05-24,0001-01-01,S,sensibiliser les usagers du permis B à la conduite de motocyclette légère de type permis A1 ainsi qu'à la sécurité,110   AV de Chazeuil,3150,Varennes-sur-Allier,A,36,BABY BIKE CLUB 125 VARENNOIS,2008,20,15153,36,"SÉCURITÉ, PROTECTION CIVILE"
106,W032001465,1980-08-20,2022-11-29,1980-08-30,0001-01-01,S,Favoriser le rapprochement entre jeunes hommes exercant des professions differentes promouvoir les plus hautes valeurs morales que civiques,BOURBON STREET 11 RUE de la Batterie,3000,Moulins,A,20,TABLE RONDE N° 188 MOULINS,1980,60,1966,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
107,W032002683,2012-06-07,2012-06-07,2012-06-16,0001-01-01,S,création d'un pôle de santé autour d'une maison de santé pluridisciplinaire à Lurcy Levis,Maison de Pays 72 BD Gambetta,3320,Lurcy-Lévis,A,17,UNION POUR LA SANTE AU PAYS DE LEVIS,2012,11,17340,17,SANTÉ
108,W033002888,2009-11-17,2017-09-14,2009-11-28,0001-01-01,S,renforcer les liens d'amitié unissant les joueurs de l'Association Sportive Gannatoise (A.S.G.),Stade Roger Muyard,3800,Gannat,A,11,AMICALE DES JOUEURS DE RUGBY DE L'...,2009,178,17179,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
109,W031001387,1947-09-05,2014-10-02,1947-10-03,0001-01-01,S,"protection de la chasse, répression du braconnage",,3380,Treignat,A,7,SOCIETE DE CHASSE : LA PROTECTRICE,1947,115,19343,7,"CLUBS DE LOISIRS, RELATIONS"
110,W032002523,1960-06-25,2018-07-06,1961-03-16,0001-01-01,S,collecte de sang,,3210,Souvigny,A,17,ASSOCIATION POUR LE DON DE SANG BEN...,1960,101,15545,17,SANTÉ
111,W033002169,1995-03-16,1995-03-16,1995-05-17,0001-01-01,S,"Encourager et favoriser toutes activites associatives, sportives, culturelles, ludiques ou sociales par des interventions actives...",38 AV de Vichy,3700,Bellerive-sur-Allier,A,6,"ACTION, PROMOTION, INFORMATION, COM...",1995,71,22925,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
112,W031002252,2000-06-15,2000-06-15,2000-07-08,0001-01-01,S,"promouvoir le ski nautique de haut niveau par des stages, competitions et diverses manifestations",20 RUE des Roses,3410,Saint-Victor,A,11,SKI FLY EXTREME,2000,151,3894,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
113,W031002881,2016-03-29,2017-12-15,2016-04-09,2017-12-01,S,"favoriser le développement de la solidarité et du lien social par le biais d'échanges de biens, de services et de savoir dans le respect de la charte d'adhésion",Mairie PL Jean Jaurès,3170,Doyet,D,14,SEL DU BASSIN MINIER,2016,151,7337,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
114,W031001277,1988-05-24,2017-09-28,1901-07-01,0001-01-01,S,"Organiser, développer, en prolongement de l'éducation physique et sportive donnée pendant les heures de scolarité, l'initiation et la pratique sportives pour les élèves qui y adhèrent",,3380,Huriel,A,11,ASSOCIATION SPORTIVE DU COLLEGE D'...,1988,18,13757,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
115,W032000286,1982-10-20,2005-02-04,1982-10-29,0001-01-01,S,RADIO,CHATEAU BIGNON  ,3160,Bourbon-l'Archambault,A,5,ASSOC BOURBON.POUR COMMUNIC. NOUVEL..,1982,123,27158,5,INFORMATION COMMUNICATION
116,W032001800,1969-04-21,2011-02-21,1969-05-24,0001-01-01,S,"Organiser des spectacles, des réunions...",mairie le bourg,3230,Paray-le-Frésil,A,9,COMITE DES FETES DE PARAY LE FRESIL,1969,114,27981,9,ACTION SOCIOCULTURELLE
117,W033000397,2006-04-27,2006-04-27,2006-05-20,0001-01-01,S,"Développer et promouvoir l'art et la culture, la communication, le respect entre les jeunes et les moins jeunes de La Paz (Bolivie) et l'Auvergne (France).",6   RUE de l'Hôtel des Postes,3200,Vichy,A,9,LA SAYA,2006,60,20250,9,ACTION SOCIOCULTURELLE
118,W032001684,1992-08-27,2017-08-01,1901-07-01,0001-01-01,S,Developpement de l'accueil chez les ruraux des enfants des villes,mairie 7 RUE des écoles,3160,Saint-Aubin-le-Monial,A,34,LE PETIT CAMPAGNARD,1992,102,12513,34,TOURISME
119,W033001000,2002-04-02,2005-03-13,2002-04-20,0001-01-01,S,"Decouverte des sites des monts de la madeleine, du pays d'urfe, du bourbonnais, des monts fu forez, et des sites alentours mitoyens. Randonnées organisées avec encadrement.",Chez M. Gérard SACCANI   Croix Cognat,3250,Châtel-Montagne,A,34,4 X 4 ET QUAD VERTS,2002,193,15545,34,TOURISME
120,W031002712,2014-12-16,2019-11-22,2014-12-27,0001-01-01,S,échanges philosophiques,25 RUE d'Alembert,3100,Montluçon,A,2,APE 1332,2014,101,7415,2,"CLUBS, CERCLES DE RÉFLEXION"
121,W033007373,2020-08-07,2020-08-07,2020-08-22,0001-01-01,S,"identifier, rechercher, recenser, restaurer, entretenir, promouvoir le patrimoine et retracer l'histoire du village ; organiser des activités culturelles",Mairie Le bourg,3220,Trézelles,A,10,ASSOCIATION TRÉZELLOISE DU PATRIMOINE,2020,39,12515,10,PRÉSERVATION DU PATRIMOINE
122,W033007307,2020-01-09,2020-01-09,2020-01-18,0001-01-01,S,promouvoir les danses et les rencontres ; apprendre les danses entre les membres ; organiser des soirées dansantes et des festivals de danse ; organiser des cours de danse,La Vernière,3130,Loddes,A,6,LIFE DANCE,2020,34,20569,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
123,W031001684,2010-03-02,2012-05-29,2010-03-20,2012-04-30,S,créer et réaliser des clips musicaux,4 bis RUE de la Réunion,3100,Montluçon,D,6,CLIP CLAP,2010,9,13027,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
124,W033000404,2006-05-12,2006-05-12,2006-06-03,0001-01-01,S,Demonstration de poursuite automobile sur terre en UFOLEP - Manifestations diverses.,  Le Revers des Bois,3300,Cusset,A,11,"TEAM 03 ""CA GLISS""",2006,191,23328,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
125,W031002408,2012-07-20,2016-01-26,2012-07-28,0001-01-01,S,enseigner et encadrer la pratique de la discipline boxe thaï et disciplines assimilées,La halle des sports 1 RUE Champollion,3100,Montluçon,A,11,THAÏ BOXE MONTLUCONNAIS,2012,193,17779,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
126,W032001605,1989-01-10,2016-05-12,1989-02-15,0001-01-01,S,Promouvoir la recherche cardiologique et perfectionnement des praticiens,,3000,Moulins,A,17,CARDIO 2000,1989,94,17825,17,SANTÉ
127,W031006689,2022-09-27,2022-09-27,2022-10-04,0001-01-01,S,"promouvoir des musiques innovantes, alternatives et expérimentales via un lieu de diffusion ; programmer des groupes, accueillir des artistes en résidences et créer un micro-label",3 RUE du Faubourg du Pont,3190,Hérisson,A,6,BRUIT ROSE,2022,177,22772,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
128,W031001497,1996-05-06,2021-11-09,1996-05-29,0001-01-01,S,"défendre le locataire lorsqu'il est dans son droit, l'aider dans la mesure de ses moyens,parlementer avec l'o.p.h.l.m et animer la cité en organisant des concours de pétanque,loto et voyages",62 RUE des Faucheroux,3100,Montluçon,A,14,AMICALE CGL DES LOCATAIRES,1996,26,7219,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
129,W031001544,1949-05-03,2001-03-08,1949-05-15,0001-01-01,S,"organisation de fêtes, d'expositions, de manifestations sportives, culturelles ou artistiques",Mairie,3350,Cérilly,A,7,CERILLY LOISIRS ANIMATIONS,1949,30,28678,7,"CLUBS DE LOISIRS, RELATIONS"
130,W033001128,2001-05-23,2001-05-23,2001-06-23,0001-01-01,S,"Organisation de voyages, de marches et toutes activites de loisirs.",34   RTE de saint pourcain,3110,Charmeil,A,7,AMICALE NICOLE BARNABE,2001,188,16699,7,"CLUBS DE LOISIRS, RELATIONS"
131,W033000570,1999-12-16,2008-07-21,2000-01-15,2008-06-26,S,Créer des postes de travail destinés à des personnes en difficultés adressées par les prescripteurs à l'association.,23   RUE de Romainville,3300,Cusset,D,30,RECYPAL,1999,6,25567,30,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
132,W033002653,2008-07-23,2008-07-23,2008-08-02,0001-01-01,S,organiser de manifestations conforme à la réglementation en vigueur afin d'aider l'Association Sportive Chassenard/Luneau,mairie   Le Bourg,3130,Luneau,A,11,AMICALE DU FOOT DE LUNEAU,2008,71,28922,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
133,W033001586,1997-06-02,2015-11-16,1997-07-05,0001-01-01,S,"organiser des manifestations telles que fêtes, bals, loto, jeux divers, manifestations culturelles, expositions artisanales ou artistiques,etc...animation de la commune en général",  MAIRIE,3120,Servilly,A,2,SERVILLY ANIMATION,1997,171,5541,2,"CLUBS, CERCLES DE RÉFLEXION"
134,W032002746,1970-11-03,2012-12-13,1970-11-19,2012-11-30,S,parent d'éleves,mairie,3460,Villeneuve-sur-Allier,D,15,ASSOCIATION LAIQUE DES PARENTS D'E...,1970,14,11704,15,ÉDUCATION  FORMATION
135,W033001313,1927-12-18,2015-07-29,1928-01-15,0001-01-01,S,Pratique du football,  MAIRIE,3270,Saint-Yorre,A,11,STADE SAINT-YORRAIS,1927,125,1085,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
136,W033002165,1959-10-21,2021-11-08,1959-11-11,0001-01-01,S,Servir un repas chaud aux enfants de l'école publique de Luneau dans un local spécialement aménagé à cet effet.,MAIRIE,3130,Luneau,A,22,CANTINE SCOLAIRE DE LUNEAU,1959,100,3805,22,CONDUITE D'ACTIVITÉS ÉCONOMIQUES
137,W032007148,2023-02-26,2023-02-26,2023-03-07,0001-01-01,S,secourir les enfants et adolescents orphelins et particulièrement ceux de l'association hondurienne «associacion comunión para los niños huerfanos»,15 CHEM1 des Petites Roches,3000,Avermes,A,20,LORPHLI,2023,121,28263,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
138,W033002743,2009-01-15,2009-01-15,2009-01-24,0001-01-01,S,pratique hebdomadaire du théâtre de façon amicale et l'organisation de quelques représentations annuelles,18 RUE Marx Dormoy,3300,Cusset,A,6,L'ALTHEATRE,2009,70,12504,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
139,W032003278,1996-04-15,2016-06-03,1996-05-01,2016-06-01,S,promouvoir les idees les pratiques d'echanges reciproques de savoirs entre les personnes en lien avec les reseaux existants et le mouvement des reseaux d'echanges de savoir,,3160,Franchesse,D,14,RESEAU D'ECHANGES RECIPROQUES DE S...,1996,98,16623,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
140,W033004046,2018-01-18,2018-01-18,2018-01-27,0001-01-01,S,le développement d'une solution logicielle de gestion de l'entreprise distribuée sous licence gnu,chez Auto Pieces Cusset 13 RUE des Boulaires,3300,Cusset,A,23,LAURUX,2018,180,12209,23,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
141,W033004121,2018-08-13,2023-06-18,2018-08-25,0001-01-01,S,préserver la forêt des colettes contre tout projet éolien ou tout autre projet qui nuirait à sa biodiversité et à son écosystème,Mairie 1 PL de l Ecole,3330,Coutansouze,A,24,PRÉSERVONS LA FORÊT DES COLETTES,2018,135,2951,24,"ENVIRONNEMENT,  CADRE DE VIE"
142,W033007699,2023-03-21,2023-03-21,2023-03-28,0001-01-01,S,le développement des liens culturels des kurdes et autres communautés ; le développement de toutes natures,3 RUE Voltaire,3200,Vichy,A,6,ASSOCIATION CULTURELLE POUR L'INSER...,2023,87,15943,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
143,W031000283,2005-07-26,2006-10-11,2005-09-03,0001-01-01,U,"Coordonner et développer dans tous les secteurs, la défense des intérêts économiques, sociaux et moraux des retraités", ,3100,Montluçon,A,14,UNION DEPARTEMENTALE DES RETRAITES ...,2005,155,20865,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
144,W031006608,2001-07-17,2022-03-29,2001-08-25,0001-01-01,S,organisation de chasse a tir et a courre ; organisation de rencontres conviviales de chasseurs,,3350,Le    Brethon,A,7,ASSOCIATION DE CHASSE 'VAUTRAIT BO...,2001,120,26063,7,"CLUBS DE LOISIRS, RELATIONS"
145,W033003092,1982-03-19,2011-05-19,1982-04-25,0001-01-01,S,organisation et animation des loisirs de la collectivite,,3120,Châtelus,A,7,COMITE DES FETES DE CHATELUS,1982,47,26110,7,"CLUBS DE LOISIRS, RELATIONS"
146,W032000574,2006-08-01,2006-08-01,2006-08-26,0001-01-01,S,Concrétisation (réalisation et production) de projets musicaux.,"Chez M. Adel AMZAD   Les Airelles, n° 69",3000,Moulins,A,6,CORZEAMUZIK,2006,194,3860,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
147,W032000349,1965-01-14,2021-11-16,1965-02-06,0001-01-01,S,Foyer,MAIRIE 8   RUE MIRAMBELLE,3140,Chantelle,A,9,FOYER CULTUREL LAIC,1965,70,14518,9,ACTION SOCIOCULTURELLE
148,W033000525,1980-01-29,2022-02-14,1980-02-09,0001-01-01,S,"Creer, animer, developper les rencontres et les liens d'amitie entre les personnes agees",  SALLE DES FETES,3220,Saint-Léon,A,9,CLUB DU 3EME AGE LES BLES D'OR,1980,184,1039,9,ACTION SOCIOCULTURELLE
149,W032000819,2000-11-21,2022-09-05,2000-12-16,0001-01-01,S,Favoriser le développement et le contrôle de la pratique des activités physiques et sportives non compétitives ou du temps libre assimilé...,Mairie,3000,Neuvy,A,11,R.S.N.E.,2000,71,20353,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
150,W031000093,1945-12-31,2022-12-09,1946-01-24,0001-01-01,S,Developpement de la pratique du sport en devenant club omnisports, ,3100,Montluçon,A,11,BLANZAT SPORT MONTLUCON,1945,187,4100,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
151,W033000172,1993-04-21,2023-02-23,1993-05-12,0001-01-01,S,"Organiser la defense des interets des residants, sur toutes les questions concernant le probleme de l'habitat et de l'urbanisme.",le briandet 4 12   RUE du golf,3700,Bellerive-sur-Allier,A,32,AMICALE DES LOCATAIRES CGL DU GOLF,1993,12,21323,32,LOGEMENT
152,W033007392,2020-10-07,2020-10-07,2020-10-17,0001-01-01,S,"favoriser les échanges à travers un lieu ouvert au partage des richesses et des connaissances, à l'économie circulaire, au recyclage, à l'écologie, la protection de l'environnement et la culture",1 RTE de Laléger,3330,Bellenaves,A,2,PICUS RECYCLE ET PLUS,2020,155,16281,2,"CLUBS, CERCLES DE RÉFLEXION"
153,W031002930,1975-04-09,2016-08-03,1975-05-08,0001-01-01,S,développer la pratique du sport et susciter des liens d'amitié entre ses membres,Comité d'Etablissement SOCOPA RTE de Cosne,3430,Villefranche-d'Allier,A,11,CLUB SPORTIF FRANVIL,1975,152,18723,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
154,W033001776,1936-11-03,2018-05-16,0001-01-01,0001-01-01,S,Organisation de toutes manifestations conformement aux dispositions en vigueur., ,3220,Chavroches,A,9,COMITE DES FETES DE CHAVROCHES,1936,159,1810,9,ACTION SOCIOCULTURELLE
155,W033004132,2018-09-07,2018-09-07,2018-09-22,0001-01-01,S,accueillir des enfants dans une maison d'assistants maternels,RTE d'Espinasse,3110,Cognat-Lyonne,A,21,MLBC,2018,94,26585,21,"SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
156,W031001221,2008-10-31,2008-10-31,2009-01-31,0001-01-01,S,"réunir des personnes partageant dans le même esprit de tribu la volonté de faire des sorties, balades, rencontres, manifestations de toutes sortes, sportives ou non, motorisées ou non",Mairie 1 RUE victor hugo,3390,Montmarault,A,7,WOLF'KAN TRIBE SPIRIT,2008,32,8179,7,"CLUBS DE LOISIRS, RELATIONS"
157,W031002308,2011-11-25,2017-02-16,2011-12-10,0001-01-01,S,organiser les loisirs du personnel de la coopérative,,3330,Bellenaves,A,14,VAL'LIMAGNE.COOP,2011,184,12888,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
158,W033002701,1968-11-25,2010-01-21,1968-12-21,0001-01-01,S,propager et défendre l'idéal laïque dépouillé de toute ingerence politique,Collège Jules Verne,3250,Le    Mayet-de-Montagne,A,15,APEL DU COLLEGE JULES VERNE,1968,64,11167,15,ÉDUCATION  FORMATION
159,W033002955,1969-07-03,2016-11-02,0001-01-01,0001-01-01,S,"soutenir et entraider les malades, les vieillards, les sinistres et les familles des donneurs de sang : organiser des loisirs.",Mairie,3130,Le    Bouchaud,A,20,AMICALE DES DONNEURS DE SANG BENEVO...,1969,79,10667,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
160,W032000972,1999-06-30,2007-04-23,1999-07-17,0001-01-01,S,Groupement d'employeurs,,3000,Bressolles,A,14,GROUPEMENT D'EMPLOYEURS DES RACINES,1999,162,8227,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
161,W033001958,1995-08-07,1995-08-08,0001-01-01,0001-01-01,S,"Accueillir et aider les personnes d2sireuses d4ameliorer leur qualite de vie par differents canaux educatifs, culturels, artistiques...", ,3800,Gannat,A,6,REGARD ET LUMIERE,1995,71,24125,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
162,W033002425,1976-07-02,2021-01-28,1976-07-20,0001-01-01,S,Pratique de l'éducation physique et des sports.,Hotel de Ville BD de l'Hôtel de Ville,3120,Lapalisse,A,11,RUGBY-CLUB LAPALISSOIS,1976,186,27937,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
163,W031002188,1991-09-09,2019-05-27,1991-10-02,2019-06-01,S,"animer le village trois jours par semaine (mercredi,samedi et dimanche) et surtout donner une occupation sportive aux jeunes, actifs et retraites, et les maintenir dans le village",RUE de l'Eglise,3330,Naves,D,11,LA PETANQUE NAVOISE,1991,44,6260,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
164,W032002153,1991-02-14,2019-11-04,1991-03-06,0001-01-01,S,cultiver la science de l'esprit fonde par rudolf steiner; favoriser l'accès au fonds anthroposophique à toute personne qui le désire,Mairie PL de l'hôtel de ville,3160,Bourbon-l'Archambault,A,16,BRANCHE BERNARD DE CLAIRVAUX,1991,160,3667,16,RECHERCHE
165,W033007667,2023-01-16,2023-01-16,2023-01-24,0001-01-01,S,promouvoir les arts en général par des manifestations,13 RUE Desbrest,3200,Vichy,A,6,MARCHE DES ARTS VICHY,2023,148,19009,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
166,W032006700,2019-01-11,2019-01-11,2019-01-19,0001-01-01,S,soutenir et accompagner la pratique musicale et toutes les activités pouvant y être rattachées,13 RUE Pape-Carpantier,3000,Moulins,A,6,FEELING 03,2019,86,21643,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
167,W031001941,1979-12-26,2023-02-10,1980-01-10,0001-01-01,S,pratique du tennis,Mairie,3420,Marcillat-en-Combraille,A,11,TENNIS CLUB DE MARCILLAT,1979,17,10721,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
168,W032000244,2005-07-19,2021-07-14,1901-07-01,2021-06-29,S,"Rassembler tous les médecins généralistes exerçant ou ayant exercé ehn hôpital local, promouvoir et sauvegarder la place du médecin généraliste exerçant en hôpital local...",Hopital Local Coeur du Bourbonnais 43   RUE des Fossés,3500,Saint-Pourçain-sur-Sioule,D,17,ASSOC NATMEDECINS GENER HOPITAUX LOC.,2005,85,14521,17,SANTÉ
169,W033000359,2000-10-11,2009-02-18,2000-11-04,2009-02-17,S,Permettre la participation de benevoles a l'amelioration du confort des residents de la maison de retraite pierre masseboeuf de bellerive/allier,Maison de Retraite Pierre Masseboeuf   CHEM1 des Tribles,3700,Bellerive-sur-Allier,D,21,HARMONIE,2000,107,24555,21,"SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
170,W032003292,1986-10-23,2023-04-27,1986-11-05,0001-01-01,S,"organiser et developper des activites dans le domaine social, culturel, sportif et de loisirs au benefice des agents en activite ou en retraite du ministere",D.D.T. 03 51 BD,3400,Yzeure,A,23,A.S.M.A.,1986,150,11684,23,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
171,W031002377,2012-04-17,2012-04-17,2012-04-28,0001-01-01,S,permettre de développer et d'équilibrer harmonieusement le visage et le corps,33 RUE des Pensées,3100,Montluçon,A,17,ENERGIA VITALIS,2012,39,15585,17,SANTÉ
172,W031001227,2003-04-18,2018-11-19,2003-05-31,0001-01-01,S,Favoriser les échanges et la qualité de vie des adhérents,56 RTE de Vaux,3410,Saint-Victor,A,14,ASS. RIVERAINS ET AMIS DE PERREGUINES,2003,78,28070,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
173,W031000131,1969-06-03,2014-02-26,1984-06-22,0001-01-01,F,"Apporter une aide technique, culturelle et administrative aux maisons de jeunes et assurer une liaison permanente entre elles",8   RUE du Général Mairal,3100,Montluçon,A,9,FEDERATION REGIONALE DES MAISONS DE...,1969,39,3936,9,ACTION SOCIOCULTURELLE
174,W033003167,2012-01-09,2012-01-09,2012-01-21,0001-01-01,S,pratiquer les arts martiaux et la culture asiatique,32 RUE de Moulins,3260,Saint-Germain-des-Fossés,A,11,ASSOCIATION WING CHUN,2012,160,28108,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
175,W033002227,1967-11-02,2023-01-18,1967-11-23,0001-01-01,S,"Soutenir et entraider les familles de donneurs de sang, les malades, les vieillards, les sinistres",SALLE DE REUNIONS MAIRIE,3130,Saint-Léger-sur-Vouzance,A,17,AMICALE DES DONNEURS DE SANG BENEVO...,1967,65,12093,17,SANTÉ
176,W033003238,2012-08-13,2012-08-13,2012-08-25,0001-01-01,S,"créer, animer, organiser toutes manifestations sous quelques formes que ce soit en faveur des pays d'Afrique",28 RUE Curie,3700,Bellerive-sur-Allier,A,20,COEUR D'AFRIQUE,2012,183,7704,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
177,W031000618,2005-12-13,2011-12-12,2006-01-14,0001-01-01,S,organiser la pratique mixte du volley-ball en loisir.,,3350,Cérilly,A,11,VOLLEY-BALL CLUB CERILLOIS,2005,142,13539,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
178,W031002340,2012-02-01,2012-02-01,2012-02-11,0001-01-01,S,la restauration du patrimoine industriel du 20ème siècle,90 RUE des Ecoles,3600,Commentry,A,10,AUTO MOTO RETRO COMMENTRYEN,2012,83,26659,10,PRÉSERVATION DU PATRIMOINE
179,W033002757,1980-11-21,2023-03-20,1980-12-09,0001-01-01,S,Promouvoir et animer les festivités locales,Mairie Le Bourg,3130,Liernolles,A,9,COMITE DES FETES,1980,43,2182,9,ACTION SOCIOCULTURELLE
180,W032000211,2000-10-17,2019-12-18,2000-11-11,2019-11-23,S,Sport auto courses de poursuite,mairie   COUR2 Geneviève Huillier,3210,Souvigny,D,11,BOURBONNAIS SPORT AUTO 03,2000,147,6355,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
