"id","id_ex","siret","rup_mi","gestion","date_creat","date_decla","date_publi","date_disso","groupement","objet","adrs_libvoie","adrs_codepostal","adrs_libcommune","siteweb","position","objet_cat","objet_list","nom","annee_creat","membres","benefices"
"W032001128","0032005320","","","032P","2004-06-03","2004-06-03","2004-07-03","0001-01-01","S","promouvoir parmi ses adhérents ainsi que ds le public la connaissance de la nature et de la necessité de sa sauvegarde","","03210","Saint-Menoux","","A","024","['024000', '000000']","CONNAITRE ET PARTAGER LA NATURE LA ...","2004",117,18362
"W031000955","","","","031S","2008-01-22","2008-01-22","0001-01-01","2009-01-22","S","soutenir la liste d'union de gauche aux municipales de lavault-sainte-anne 2008 et oeuvrer pour renforcer la justice sociale et la participation démocratique de tous les lavaultois","33 RUE de la Côte du Theil","03100","Lavault-Sainte-Anne","","A","001","['001015', '000000']","LAVAULT 2008","2008",192,21549
"W032002820","0032004669","","","032P","1999-11-26","2013-05-14","1999-12-25","2013-04-18","S","groupement d'employeurs","LD Le Marquisat","03500","Paray-sous-Briailles","","D","014","['014000', '000000']","GROUPEMENT D'EMPLOYEURS DU MARQUISAT","1999",193,4856
"W033001464","0033006763","","","033S","1998-05-18","1998-05-18","1998-06-13","0001-01-01","S","Association d'ophtalmologie ayant pour but la formation medico chirurgicale continue, la recherche et l'enseignement en ophtalmologie","127   BD Etats Unis","03200","Vichy","","A","017","['017200', '017000']","OPHTALMOLOGIE CENTRE EUROPE ET FRAN...","1998",114,16165
"W032002037","0032000272","","","032P","1926-06-28","2019-08-27","1926-07-08","0001-01-01","S","Peche","mairie 31 la Grande Rue","03140","Voussac","","A","013","['013010', '000000']","AAPPMA  \""LA GAULE DU VENANT\"" VOUSSAC","1926",181,14974
"W033003363","","","","033S","2013-09-16","2013-09-16","2013-11-02","0001-01-01","S","organisation d'animation et mise en oeuvre de tournois et/ou de rencontres amicales au sein du Bowling Sud Allier de Cusset","4 RUE Ampère","03300","Cusset","","A","011","['011192', '000000']","AMICALE DE BOWLING DE CUSSET","2013",187,14115
"W031002640","","","","031S","2014-05-19","2014-12-12","2014-05-31","0001-01-01","S","promouvoir la culture dans le milieu rural ainsi que la création chorégraphique","11 RTE de Paris","03190","Reugny","","A","006","['006100', '000000']","C'KAFEJ","2014",152,8278
"W032001690","0032003740","","","032P","1993-02-18","2005-06-28","1993-03-17","0001-01-01","S","Mise en forme et bon deroulement des activites necessaires au bien etre des residents","","03290","Dompierre-sur-Besbre","","A","021","['021020', '000000']","LE HAVRE D'AUTOMNE","1993",165,5505
"W033007217","","","","033S","2019-04-02","2021-06-04","2019-04-13","2021-02-24","S","accompagner dans la parentalité en mettant en place des ateliers pratiques, des temps de rencontres et d'échanges autour de réunion d'informations","17 CHEM1 de Lafont","03300","Cusset","","D","007","['007075', '000000']","ADDN","2019",39,23108
"W032003382","","","","032P","2017-02-27","2020-02-19","2017-03-11","0001-01-01","S","développer la pratique et la connaissance de la pétanque en vue de compétitions chez les jeunes enfants, adolescents et adultes dans le cadre de rencontres et d'échanges","mairie PL du Général Hoche","03240","Le    Montet","","A","011","['011035', '000000']","ECOLE DE PETANQUE LE MONTET","2017",125,2273
"W033000182","0033005014","","","033S","1989-01-13","2017-10-12","1989-02-22","2017-09-20","S","promouvoir en toute neutralité et en toute independance la vie culturelle de la cité","Centre Eric Tabarly B RUE du Champ d'Auger","03300","Cusset","","D","006","['006020', '006070']","LES PEINTRES ET SCULPTEURS DE LA TOUR","1989",28,12887
"W031000908","0031004938","","","031S","2003-11-24","2023-01-17","2003-12-20","0001-01-01","S","Dynamiser et développer la pratique sportive ; développer l'apprentissage de la vie associative","Collège François Rabelais","03310","Néris-les-Bains","","A","011","['011000', '011010']","ASSOCIATION SPORTIVE COLLEGE NERIS-...","2003",170,18528
"W032001807","0032000311","","","032P","1927-02-08","2016-11-09","1927-02-24","0001-01-01","S","Tennis","Mairie PL de l'Hôtel de Ville","03160","Bourbon-l'Archambault","","A","011","['011165', '000000']","TENNIS CLUB BOURBONNAIS","1927",195,18381
"W033003594","","","","033S","2015-05-06","2015-05-06","2015-05-16","0001-01-01","S","proposer et réaliser des évènements privés ou publiques pour cibles diverses (particuliers, entreprises, comités des fêtes...)","17 RUE de la Mairie","03300","Creuzier-le-Vieux","","A","006","['006000', '000000']","ASSOCIATION DES ANCIENNES SONO DE V...","2015",133,16903
"W032000820","0032002379","","","032P","1980-03-03","2019-12-18","1980-03-09","0001-01-01","S","Organisation et animation des festivités de la commune","Mairie","03000","Bressolles","","A","009","['009030', '000000']","COMITE DES FETES DE BRESSOLLES","1980",83,4529
"W033000867","0033007394","","","033S","2003-03-10","2018-04-11","2003-04-26","0001-01-01","S","Organiser la défense des intérêts des résidents sur toutes les questions concernant les problèmes de l'habitat et de l'urbanisme.","  Bât. E - n° 56 - HLM Clair Matin - 2ème","03120","Lapalisse","","A","014","['014035', '000000']","AMICALE CNL DES LOCATAIRES CLAIR MA...","2003",41,14509
"W033001311","0033006937","","","033S","1999-10-21","1999-10-21","1999-11-20","0001-01-01","S","Promouvoir la reflexion sur les grands themes de la modernite par la reunion, le debat, la convivialite et la mediatisation.","4   RUE Copere","03200","Vichy","","A","014","['014000', '000000']","CLUB IDEES ALBERT LONDRES","1999",114,3938
"W033001612","0033005924","","","033S","1993-10-29","1996-01-11","1993-11-17","0001-01-01","S","Réunir les pratiquants du jeu de rôles grandeur nature et promouvoir ce jeu.","  15 LA SIGILONNIERE","03800","Gannat","","A","006","['006100', '006100']","LA CLEF D'ARGENT","1993",190,15664
"W032006954","","","","032P","2021-07-07","2022-02-16","2021-07-13","2022-02-11","S","la création et la gestion administrative , financière et morale d'une maison d'assistant(e)s maternel(le)s tenue par des assistant(e)s maternel(le)s agréé(e)s","5 RUE de la République","03140","Chantelle","","D","021","['021005', '000000']","MAM'AGIQUE","2021",36,16928
"W033007747","","","","033S","2023-07-06","2023-07-06","0001-01-01","0001-01-01","S","pratiquer le yoga, l'art, le chant, la danse, la musique, la sono thérapie, former ; donner des stages, organiser des séjours, conférence, philosophie, cuisine","24 IMP Vincent d'Indy","03800","Gannat","","A","007","['007085', '006000']","YOGA DU LOTUS","2023",166,27605
"W033002218","0033005191","","","033S","1989-12-06","2019-02-13","1989-12-27","0001-01-01","S","Creer, gerer, animer un club de retraites","MAIRIE","03220","Chavroches","","A","009","['009040', '009000']","AU PIED DU CHATEAU","1989",185,11181
"W032006680","","","","032P","2018-11-12","2023-01-25","2018-11-24","0001-01-01","S","rassembler 3 assistantes maternelles agréées dans l'exercice de leur profession afin d'accueillir des enfants dans un local commun et d'organiser ponctuellement ou régulièrement des activités d'éveil","47 RUE des Fossés","03500","Saint-Pourçain-sur-Sioule","","A","021","['021005', '000000']","MAM","2018",173,15598
"W031000959","0310001918","","","031S","1972-03-02","2011-09-29","1972-03-16","0001-01-01","S","Conserver et renforcer les liens d'amitié et de camaraderie qui unissent les anciens marins.","4 RUE Lavoisier","03600","Commentry","","A","038","['038110', '000000']","AMICALE DE MARINS ET MARINS ANCIENS...","1972",131,16384
"W033001582","0033006660","","","033S","1997-06-09","2022-11-28","1997-07-12","0001-01-01","S","Ameliorer certaines activites : arbre de noel, voyages, jmf, etc","  MAIRIE","03130","Saint-Didier-en-Donjon","","A","015","['015005', '009000']","ASSOCIATION DE PARENTS D'ELEVES DU...","1997",168,9350
"W033002462","","","","033S","2007-10-23","2017-04-03","2007-11-03","0001-01-01","S","organiser diverses manifestations afin de collecter des fonds pour soutenir la recherche des maladies leuco dystrophiques","mairie  ","03130","Le Bouchaud","","A","017","['017210', '000000']","ENSEMBLE AVEC VINCENT","2007",152,5569
"W033002222","0033004180","","","033S","1984-01-11","2022-11-29","1984-01-21","0001-01-01","S","Pratique du sport, de la pétanque dans l'entente la plus cordiale.","RUE de l'Eglise","03800","Saulzet","","A","011","['011035', '000000']","LA PETANQUE SAULZETOISE","1984",122,9187
"W032002042","0032001281","","","032P","1957-10-15","2011-07-26","1957-10-23","2011-06-10","S","Vie scolaire","23 RUE des Durantats","03000","Moulins","","D","015","['015000', '000000']","ASSOCIATION DES ENSEIGNANTS ET AMIS...","1957",80,26195
"W032000275","0032002183","","","032P","1977-11-02","2022-04-28","1977-11-13","0001-01-01","S","Retraites","MAIRIE  ","03230","Garnat-sur-Engièvre","","A","009","['009040', '000000']","CLUB RETRAITES GARNAT-SAINT-MARTIN...","1977",143,3772
"W033000673","0033001509","","","033S","1951-09-20","2016-07-05","1951-10-11","0001-01-01","S","Organisation de la chasse, lutte contre le braconnage, repeuplement des territoires de chasse et protection du gibier.","  Mairie","03220","Treteau","","A","013","['013005', '000000']","ASSOCIATION COMMUNALE DE CHASSE","1951",108,2067
"W031001231","","","","031S","2008-11-18","2009-06-09","2009-01-31","0001-01-01","S","participation au raid 4L Trophy 2010, action humanitaire qui vise à amener des fournitures scolaires à Marrakech au Maroc en traversant la France, l'Espagne et le désert Sud-marocain en 4L","IUT de Montlucon département GLT AV aristide Briand","03100","Montluçon","","A","020","['020015', '000000']","LES 4 ELANCES","2008",30,11072
"W033001114","0033007170","","","033S","2001-06-28","2001-06-28","2001-07-14","0001-01-01","S","Constituer et gerer un portefeuille de placements en parts sociales ou en actions , de consentir des prets sans interet.","Chez thierry tailhandier   BD du gravier - Porte saint-antoine","03300","Cusset","","A","023","['023004', '009050']","CLUB D'INVESTISSEMENT SOLIDAIRE","2001",98,16925
"W031002824","","","","941P","2015-10-26","2022-01-30","2015-11-07","0001-01-01","S","création et organisation d'évènements culturels divers tels que des spectacles, élections de miss et mister, lotos","23 IMP du Haut des Pendants","94440","Santeny","","A","006","['006000', '000000']","LES MODELES DE LAURENCE","2015",142,22179
"W031001299","","","","031S","2009-01-19","2009-01-19","2009-03-07","0001-01-01","S","promouvoir la culture en Auvergne et dans les régions avoisinantes et notamment l'histoire et les évènements historiques qui se rapportent à cette région","95 rue Jean Jaurès","03600","Commentry","","A","009","['009000', '000000']","ECA","2009",84,17014
"W032007171","","","","032P","2023-05-12","2023-05-12","2023-05-23","0001-01-01","S","promouvoir la famille à travers des actions diverses","19 RUE de Villars","03000","Moulins","","A","040","['040000', '000000']","AFC DE DOMPIERRE","2023",148,4497
"W033007637","","","","033S","2022-10-14","2022-10-14","2022-10-18","0001-01-01","S","promouvoir vichy dans la continuation du classement unesco","18 RUE Desbrest","03200","Vichy","","A","010","['010000', '000000']","A.P.V.","2022",169,13082
"W033003536","0033004823","","","033S","1988-01-11","2018-12-20","1988-01-11","0001-01-01","S","organisation d'activités engageant tout ou partie des classes de l'école pendant ou en dehors des heures scolaires","ECOLE J.B. BURLOT RUE J.B. BURLOT","03700","Bellerive-sur-Allier","","A","015","['015000', '000000']","COOPERATIVE SCOLAIRE DE L'ECOLE J....","1988",53,7440
"W033003218","","","","033S","2012-06-15","2019-02-28","2012-06-23","0001-01-01","S","pratiquer et encourager l'activité touristique à vélo en général sur route à VTT ou VTC","Mairie 2 RUE Maurice Dupont","03150","Saint-Gérand-le-Puy","","A","011","['011000', '011180']","ACSG","2012",107,16262
"W033001645","0033006071","","","033S","1994-07-21","2019-07-15","1994-08-10","0001-01-01","S","Pratique sportive du badminton, formation et perfectionnement des animateurs","  PL de l'Hôtel de Ville","03150","Varennes-sur-Allier","","A","011","['011030', '000000']","VARENNES BADMINTON CLUB (V.B.C)","1994",88,14424
"W032001919","","","","032P","2008-05-05","2016-09-30","2008-05-17","0001-01-01","S","promotion de la culture par des moyens diversifiés","14   RUE François Péron","03000","Moulins","","A","006","['006000', '000000']","L'ANGE ASSIS, L'AIMANT BLEU","2008",70,10809
